task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
"Bring in the thing that is most shocking, when turned around.","Contestants were required to bring in an object that, when turned around, would be considered the most shocking. The task was presented as a prize task where contestants showcased their items to the Taskmaster, Greg Davies, and his assistant, Alex Horne, in front of a live studio audience.",Studio (Prize Task segment),[],"['Each contestant had to bring a single object.', ""The object needed to be 'most shocking' when turned around."", 'Judged and ranked by the Taskmaster, with points awarded accordingly.']","['Creativity', 'Surprise/Reveal', 'Presentation/Performance', 'Humor', 'Interpretation']","['Lateral thinking', 'Creativity', 'Showmanship', 'Humor', 'Interpretation of task prompts']",performance,solo,['Involved elements of surprise and humor.'],Assisted with the presentation and provided commentary alongside Greg Davies.,16,10,2895,8,9,1,2,8,2,9,2,16_10_2895,Taskmaster UK,Studio,Studio/Stage,Performance-based,Solo,8,9,2,3,10,4,3,5
Do something shocking with a doughnut,Contestants were instructed to perform a shocking yet family-friendly act using a doughnut as the main focus. They had 15 minutes to execute their idea.,"The task took place at the Taskmaster lab table, indoors.","['One doughnut', 'Standard lab environment props', 'Craft supplies']","['The act had to be shocking but family-friendly.', 'Contestants had 15 minutes to complete the task.', 'The doughnut had to be the central aspect of the shocking act.']","['Food-related', 'Performance', 'Creativity', 'Humor', 'Time-based']","['Creativity', 'Improvisation', 'Performance', 'Comedic Timing', 'Quick Thinking']",Performance-based,solo,"['Involved acting', 'Some improvisation']","Alex Horne was the recipient of several acts, becoming an interactive part of the performance, which added to the comedic element.",16,10,2896,8,9,3,4,9,7,2,3,16_10_2896,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,4,3,10,7,6,2
"Demonstrate an effective, high-intensity exercise routine","Contestants were required to create a four-part exercise routine, each part lasting a specific duration (8 seconds, 4 seconds, 2 seconds, and 1 second). Each exercise had to start and end with specific sounds or phrases (e.g., 'whoops,' 'yeah,' 'scream,' 'gasp,' 'ahhh').",Taskmaster Lab,"['Mat', 'Gaffer tape', 'Water']","['Each exercise had to be original', 'Exercises must take place on the mat', 'Adhere to specific time durations', 'Include vocal starting/ending cues']","['Physical', 'Performance-based', 'Time-based', 'Creative']","['Creativity in designing exercises', 'Physical agility and coordination', 'Ability to follow instructions precisely', 'Performance skills']",Performance-based,solo,"['Involved acting elements with vocal cues', 'Possibly spiritual/exorcism themes']","Alex Horne participated in some routines as an element of the exercises (e.g., being exorcised).",16,10,2897,8,9,6,5,8,7,2,3,16_10_2897,Taskmaster UK,Lab,Inside House,Physical,Solo,8,9,7,6,8,5,3,2
Give your guest the best service. He has 30 minutes.,"Contestants were tasked with running the ""Taskmaster Hotel,"" providing the best possible service to their guest, Alex Horne, within a 30-minute time frame. They had to manage various hotel-related duties, such as checking in the guest, responding to room service requests, handling complaints, and dealing with unexpected situations like a fire alarm.","The task took place in the Taskmaster house, which was transformed into a mock hotel.","['Hotel reception desk', 'Hotel staff uniforms', 'Keys for hotel rooms', 'A reservation book', 'Various hotel amenities and props throughout the house']","['Provide the best service to the guest within 30 minutes.', ""Respond to the guest's requests and needs."", 'Operate within the confines of the Taskmaster house.']","['Performance-based', 'Time-based', 'Improvisation', 'Customer service']","['Improvisation', 'Customer service abilities', 'Problem-solving under pressure', 'Teamwork', 'Time management']",performance,group,['Involved acting and role-playing as hotel staff.'],"Alex Horne played the role of the guest, making various requests and evaluating the service.",16,10,2898,8,9,3,3,10,7,2,4,16_10_2898,Taskmaster UK,Lounge,Inside House,Performance-based,Group,7,8,4,6,9,7,3,2
Throw a ball into a bathtub full of balls,"Contestants were required to throw a ball into a bathtub filled with balls from behind a designated rope. If a contestant's ball did not land in the bathtub, they were eliminated. The last contestant standing was declared the winner.",This task took place in the studio as part of the live task segment of the show.,"['A bathtub filled with plastic balls', 'Additional balls for contestants to throw', 'A rope marking the throwing line']","['Contestants must throw the ball from behind the rope without touching it.', ""If a contestant's ball did not land in the bathtub, they were eliminated immediately.""]","['Physical', 'Accuracy-based', 'Elimination-style']","['Hand-eye coordination', 'Judgement in assessing distance', 'Composure under pressure']",physical,solo,[],"Alex provided instructions, monitored the task, and acted as the referee to ensure all rules were followed.",16,10,2899,5,3,3,6,7,2,1,6,16_10_2899,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,4,6,5,7,3,3,5
"The most glorious thing that sounds a bit like ‘Greg Davies’, if you mumble it",Contestants were required to bring in an item that phonetically resembled 'Greg Davies' when mumbled. The item also had to be considered 'glorious' by Greg Davies.,Studio,"['Peg doll', 'Diaries', 'Decorated eggs', 'Breakfast dish', 'Jug of gravy']","[""The item had to sound like 'Greg Davies' when mumbled"", 'The item had to be perceived as glorious']","['Wordplay', 'Creativity', 'Humor', 'Presentation', 'Subjective Judgment']","['Creativity', 'Wordplay', 'Humor', 'Presentation skills', ""Ability to gauge Greg Davies' preferences""]",Artistic and Performance-based,Solo,"['Humor', 'Wordplay']",Task announcer; facilitated the studio discussion,17,1,3058,8,9,1,2,8,3,6,4,17_1_3058,Taskmaster UK,Lab,Inside House,Creative,Solo,9,10,2,3,8,5,4,3
Do the riskiest thing with this egg,Contestants were instructed to do something risky involving an egg without breaking it. The egg that was in the greatest danger yet remained unbroken would win the task.,The task took place in the living room of the Taskmaster house.,"['Raw egg adorned with googly eyes', 'Eggcup', 'Any items within the room']","['Time limit of 20 minutes', 'The egg must not break; breaking the egg resulted in disqualification', 'The task was to put the egg in the greatest possible danger without it breaking']","['Risk Management', 'Creativity', 'Performance', 'Time-Based']","['Lateral Thinking', 'Creativity', 'Manual Dexterity', 'Performance Skills']",performance,solo,['Involved acting and storytelling to convey the risk'],"Alex served as the task facilitator, providing the initial instructions and guidelines.",17,1,3059,8,9,3,5,9,7,2,4,17_1_3059,Taskmaster UK,Lounge,Inside House,Performance-based,Solo,9,8,6,4,9,5,3,2
Create the best single picture of an animal doing something surprising.,"Contestants were divided into teams and instructed to collaboratively create a picture of an animal performing a surprising action. The unique twist was that they had to work on separate segments of a large canvas, using blinds, and could not see each other's work. They were only allowed to communicate in two-word phrases.",studio or controlled indoor environment,"['blinds', 'painting supplies', 'brushes', 'paint', 'rollers']","['All six blinds must be fully and equally involved.', ""Contestants could not see each other's work."", 'Communication was limited to two-word phrases.', 'The blinds had to be arranged in a specific order post-task.']","['Art', 'Communication', 'Teamwork', 'Creativity']","['Artistic ability', 'Communication', 'Team coordination', 'Creativity', 'Problem-solving']",artistic,group,['acting out roles through limited communication'],"Alex Horne acted as the taskmaster's assistant, providing instructions and clarifying constraints.",17,1,3060,7,9,3,6,8,7,2,4,17_1_3060,Taskmaster UK,Lab,Inside House,Creative,Mixed,9,9,3,4,8,5,7,2
Hoopla Gary before he crosses the finish line,Contestants were required to throw a hula hoop onto Gary the Gorilla's head while he was in a dinghy crossing the River Misbourne. The objective was to hoopla Gary before he crossed a designated finish line on the river.,"Outdoors at Kennel Farm, specifically on the bank of the River Misbourne.","['Hula hoops of varying sizes and colors', 'A gorilla figure named Gary placed in a dinghy', 'Boiler suits for the contestants']","['Every time a contestant’s limb got wet, their time was doubled.']","['Physical', 'Precision/Accuracy', 'Time-based']","['Physical coordination', 'Timing', 'Strategy', 'Risk assessment']",physical,solo,[],"Alex served as the task monitor, providing oversight and commentary.",17,1,3061,7,5,6,5,8,7,2,5,17_1_3061,Taskmaster UK,Public Location,Other Locations,Physical,Solo,8,7,6,5,9,7,4,3
Bring your sausage to life,"Contestants must animate or bring life to a sausage drawing within a 30-second time limit without using any words on the drawing. The task is performed live in the studio, with contestants adding different characteristics in rounds, and the worst sausage is eliminated each round.",Taskmaster Studio during the live recording.,"['Paper', 'drawing implements (e.g., pens or markers)']","['30-second time limit per round.', 'No words allowed on the drawing.', 'Must adhere to the characteristic provided for each round.', 'The worst sausage is eliminated each round.']","['Art', 'Time-based', 'Performance', 'Creative']","['Quick thinking', 'Artistic ability', 'Creativity', 'Adaptability', 'Focus under pressure']",Artistic,Solo,"['The task involves performance aspects due to the live audience and the need for quick, visually impactful creativity.']","Alex Horne acts as the taskmaster's assistant, overseeing the task, blowing the whistle to start and end rounds, and providing humorous commentary.",17,1,3062,8,9,2,4,8,10,1,3,17_1_3062,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,8,9,4,5,8,7,3,2
Identify which chess piece is not in the peas chest,"Contestants were tasked with identifying which standard chess piece was missing from a chest filled with frozen peas. The task was a live tie-breaker, and the fastest correct answer determined the winner.",Studio (live tie-breaker),"['A chest filled with frozen peas', 'Chess pieces hidden within the peas']","['The primary constraint was time, as this was a race to provide the fastest correct answer.', 'There were no explicit restrictions on how contestants could search through the peas.']","['Puzzle-solving', 'Observation', 'Time-based', 'Deductive reasoning']","['Quick visual identification', 'Memory recall of standard chess pieces', 'Speed and agility in searching', 'Deductive reasoning']",Mental,Solo,[],"Alex Horne likely acted as the task adjudicator and timekeeper, overseeing the task and ensuring rules were followed.",17,1,3063,7,3,4,3,8,9,1,5,17_1_3063,Taskmaster UK,Studio,Studio/Stage,Mental,Solo,8,6,4,3,7,9,5,2
The most fun thing to turn upside-down,"Contestants were instructed to bring an item from home that they believed would be the most fun when turned upside-down. They presented these items in the studio to the Taskmaster, Greg Davies, and explained their choices.",Studio,['Contestants brought their own items from home'],"['Bring an item that is fun to turn upside-down', ""Scoring was subjective, based on Greg Davies' judgment""]","['Creative', 'Presentation', 'Prize task', 'Subjective judgment', 'Humorous']","['Creativity', 'Presentation skills', 'Humor', 'Original thinking', ""Understanding of Greg Davies' humor""]",artistic,solo,['Involved humorous explanation and creativity in choosing an item'],"Alex Horne served as the task's co-host, assisting Greg Davies in judging the presentations.",17,2,3102,6,8,1,2,7,2,9,3,17_2_3102,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,2,3,10,1,4,2
Rescue Patatas from the Dome,"Contestants were tasked with rescuing a cat named Patatas from inside a dome structure. The cat had to be removed through a top hole without contestants' heads entering the dome, and the dome's door had to remain closed.","The task took place outdoors, likely in the Taskmaster house garden area, within a dome structure.","['dome', 'tools or items found in the shed', 'rope', 'magnets', 'ladder', 'grabber']","['The cat must exit through the top hole of the dome.', ""Contestants' heads were not allowed to enter the dome."", 'The door of the dome had to remain closed throughout the task.']","['Problem-solving', 'Physical', 'Time-based', 'Creative thinking', 'Manipulation/Engineering']","['Problem-solving', 'Creativity', 'Patience', 'Physical dexterity', 'Spatial awareness']",Primarily mental and problem-solving with a physical component.,Solo,[],"Task supervisor and observer, providing clarifications when needed.",17,2,3103,7,8,5,6,8,7,2,3,17_2_3103,Taskmaster UK,Dome,Outside House,Problem-solving,Solo,8,9,6,4,7,5,3,2
Do something epic using green-screen,"Contestants were tasked with creating the most epic visual effect using a green screen onesie and green materials. They had to conceptualize and execute a short video showcasing their ""epic"" idea within a 30-minute timeframe.","Taskmaster house, likely in or around the lab or a dedicated indoor filming area set up with green screen equipment.","['Green screen onesie', 'green materials (fabrics and props)', 'access to standard props and items available in the Taskmaster house/lab']","['Only green materials and the green screen onesie could be used.', '30 minutes to complete the task.', 'Team collaboration was required.']","['Art/Creative', 'Performance-based', 'Time-based', 'Technical']","['Creativity and imagination', 'Basic understanding of green screen technology', 'Teamwork and collaboration', 'Quick decision-making']",artistic,group,['Involved acting and creating visual illusions'],"Alex introduced the task and assisted with the green screen demonstration, adding humor and context.",17,2,3104,8,9,2,7,8,7,3,3,17_2_3104,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,4,6,8,7,3,2
Stick the Heaviest Thing to the Board,Contestants had to stick the heaviest object possible to a board using only three selected ingredients from the provided shelves. The object needed to remain attached to the board for at least one minute.,The task took place in the Taskmaster lab.,"['Velcro', 'honey', 'magnets', 'silicone', 'styling gel', 'Sellotape', 'Blu Tack']","['Contestants had to choose their three ingredients within the first two minutes and could not change their selection afterward.', 'The object had to stay attached for at least one minute.']","['Engineering', 'Problem-Solving', 'Time-Based', 'Creativity', 'Adhesive/Material Science']","['Strategic Thinking', 'Problem-Solving', 'Knowledge of Adhesives', 'Understanding of Weight Distribution', 'Time Management']",engineering,solo,[],"Alex served as the task overseer, explaining the rules and observing the task execution.",17,2,3105,7,8,3,7,8,6,2,4,17_2_3105,Taskmaster UK,Lab,Inside House,Engineering,Solo,8,7,4,6,9,5,3,2
Guess the movie that your team-mate is saying,"In this team task, one contestant must read out movie titles using only the first three letters of each word, while their teammate tries to guess the full title. In the final round, they switch to using the last three letters of each word. The team that guesses the most movies correctly wins.","Taskmaster studio stage, specifically at a puppet theatre booth with a stretchy white fabric screen.","['Puppet theatre booth with a fabric screen', 'Cards with movie titles and their three-letter abbreviations', 'Hole in the screen for contestants to poke their heads through']","['Only the first three or last three letters of each word in the movie title can be spoken.', 'The task was performed live in the studio.']","['Communication', 'Team-based', 'Mental challenge', 'Language constraint', 'Live performance']","['Clear communication', 'Pronunciation skills', 'Quick thinking and pattern recognition', 'Teamwork', 'Cultural knowledge (movies)']",Mental,Group,['Involves acting and pronunciation performance.'],"Taskmaster's assistant, holding the cards and ensuring rules are followed.",17,2,3106,6,7,2,5,8,7,3,4,17_2_3106,Taskmaster UK,Lab,Inside House,Mental,Group,7,8,2,4,9,7,3,5
The best thing for a person that is meant for an animal,"Contestants were instructed to bring in an item that is originally designed for animals but could be repurposed for human use. The task involved presenting these items to the Taskmaster, Greg Davies, who judged them based on subjective criteria.",Taskmaster studio,"['elephant chair (howdah)', 'trough', 'timed pet feeder', 'scratching post', 'anti-scratch cone']","['The item must be something designed for animals but repurposed for human use.', ""Judging was subjective, depending on Greg Davies' preferences.""]","['Creative', 'Presentation', 'Humor', 'Repurposing', 'Prize Task']","['Creativity in item selection', 'Presentation skills', 'Understanding of humor and appeal', 'Lateral thinking', 'Persuasiveness']","Performance-based, with elements of creativity and humor.",Solo task,['Involves comedic presentation and creativity in repurposing.'],"Alex Horne acts as the Taskmaster's assistant, facilitating the segment and providing commentary.",17,3,3129,8,9,1,2,8,2,9,3,17_3_3129,Taskmaster UK,Lab,Inside House,Creative,Solo,9,8,2,3,9,4,3,2
Work out who is following you,"Contestants had to determine the identity of someone or something following them. They were required to ask yes/no questions while facing a duck, which quacked periodically. Each step towards the duck was taken after a quack. The follower's responses were coded as the name of a mammal if they agreed with the contestant's statement, a bird if they disagreed, and an amphibian if they were uncertain.",Outdoor (field),"['An automated golf trolley (to carry the follower)', 'A duck that quacks', 'A list of animal names for responses']","['Contestants had to maintain eye contact with the duck at all times and take steps towards it after each quack.', ""They could only determine the follower's identity through coded responses.""]","['Mental deduction', 'Outdoor', 'Communication', 'Guessing game']","['Deductive reasoning', 'Effective questioning', 'Interpretation of coded responses', 'Patience']",Mental,Solo,['Involved a unique form of acting and coded communication.'],"Alex facilitated the task, explaining the rules and releasing the follower.",17,3,3130,8,7,3,5,9,6,2,4,17_3_3130,Taskmaster UK,Garden,Outside House,Mental,Solo,9,7,2,4,8,5,3,6
Complete the jobstacle course,"Contestants were required to complete a series of household tasks while carrying a water-filled baby carrier, known as the ""baby,"" without spilling the water. The tasks included washing dishes, hanging laundry, dusting a carpet, and changing a nappy, all within the stipulated time limit.","The task took place outdoors, incorporating a caravan and surrounding areas.","['water-filled baby carrier (the ""baby"")', 'dishes', 'laundry line', 'carpet for dusting', 'nappy', 'cleaning supplies']","['The ""baby"" had to remain in the baby carrier at all times except during the nappy change.', 'Contestants had eight minutes to complete the course.', 'The winner was the one who spilled the least amount of ""baby.""']","['Physical', 'Time-based', 'Dexterity', 'Humorous']","['Balance and coordination', 'Time management', 'Multi-tasking', 'Problem-solving', 'Physical dexterity']",Physical,Solo,[],"Alex was present to oversee the task, provide instructions, and monitor the contestants' progress.",17,3,3131,7,5,6,4,8,7,2,3,17_3_3131,Taskmaster UK,Caravan,Outside House,Physical,Solo,8,6,7,5,9,8,3,2
Create Tension,"Contestants were instructed to create the greatest sense of tension within 20 minutes, using any means they interpreted as effective for building tension.",The living room of the Taskmaster house,"['cardboard tubes', 'eggs', 'rope', 'marble', 'chair', 'cup', 'personal interaction']",['20-minute time limit'],"['Creative', 'Psychological', 'Performance-based', 'Time-based', 'Social interaction']","['Creativity and lateral thinking', 'Social awareness and psychological insight', 'Performance and showmanship', 'Risk assessment', 'Ability to interpret open-ended instructions']",Performance-based,solo,"['acting', 'psychological manipulation']","Acted as a participant and judge of tension, particularly when interacting with contestants like Joanne.",17,3,3132,7,9,3,3,8,6,2,4,17_3_3132,Taskmaster UK,Lounge,Inside House,Performance-based,Solo,8,9,2,4,7,5,8,3
Catch the most monsters in your boxes,"Contestants had to catch pop-up monster toys in various containers attached to their bodies. The monsters had to propel themselves from the table, and contestants were scored based on where the monsters landed.",This task took place live on stage in the Taskmaster studio.,"['20 pop-up monster toys per contestant', 'Overalls (costume)', 'Mortarboard hat', 'Multiple cardboard boxes attached to body parts', 'A bucket strapped to their back', 'Safety goggles']","['Monsters must propel themselves from the table.', 'Contestants had two minutes to catch as many as possible.', 'Scoring depended on the catch location.']","['Physical', 'Time-based', 'Strategic', 'Live performance']","['Physical coordination and dexterity', 'Strategic positioning', 'Quick reflexes', 'Spatial awareness']",physical,solo,['The task involved elements of live performance and humor.'],"Alex served as the task presenter and scorekeeper, ensuring rules were followed and assisting Greg Davies in determining results.",17,3,3133,8,6,7,5,9,8,3,6,17_3_3133,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,7,9,4,8,7,3,5
The greatest thing to give to a granny,"Contestants were tasked with bringing in an item they believed would be the greatest gift for a granny. This is a typical prize task where each contestant presents their chosen item in the studio, and the Taskmaster, Greg Davies, judges the items.",Studio,[],"['The main constraint was the requirement to bring an item deemed appropriate as a gift for a grandmother. There were no specific size, value, or type restrictions mentioned.']","['Prize task', 'Gift-related', 'Studio-based']","['Creativity in selecting an appropriate and unique gift', ""Understanding of the Taskmaster's sense of humor and preferences"", 'Presentation skills to explain the choice to the Taskmaster']",Mental/Performance-based,Solo,['Involved elements of humor and storytelling'],"Co-host and assistant to Greg Davies, provided commentary and facilitated the task setup",17,4,3153,6,8,1,2,8,3,7,2,17_4_3153,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,7,9,2,3,8,5,3,4
Work out who you are shaking hands with,Contestants must identify who they are shaking hands with by feeling rubber gloves filled with various items. They are only allowed to shake hands with the gloves and cannot handle them in any other way.,"Outdoors, with contestants separated from the gloves by a fence.","['Rubber gloves filled with various items such as acorns, water, eggs, lychees, and a human hand (Clarence), among others.']","['Contestants could only shake hands with the gloves.', 'They could not look around, over, under, or through the fence.', 'They were allowed to chop off a total of three fingers and one thumb from the gloves.', 'Setting off a health and safety emergency alarm would result in disqualification.']","['Sensory', 'Problem-solving', 'Deductive reasoning', 'Time-based']","['Tactile perception', 'Deductive reasoning', 'Creativity in associating items', 'Attention to detail']",Mental,Solo,"['Involves tactile exploration, almost like a tactile puzzle.']",Alex Horne was present to oversee the task and provide clarifications if necessary.,17,4,3154,8,7,3,5,9,6,1,4,17_4_3154,Taskmaster UK,Garden,Outside House,Mental,Solo,8,7,3,4,9,5,6,3
Create the biggest and best dot-to-dot picture,Contestants were required to use numbered circular marker spots to create a large and impressive dot-to-dot picture in a field. They needed to balance size with artistic quality to impress Taskmaster Greg Davies.,Outdoors in a field at Kennel Farm,"['Numbered circular marker spots', 'Wheeled shopping bag']","['Contestants had 20 minutes to complete the task.', ""The dot-to-dot picture had to be both 'biggest' and 'best.'"", 'They could indicate breaks in their line by turning over the markers.', 'The field was occupied by a herd of horses, adding unpredictability.']","['Art', 'Physical', 'Time-based', 'Outdoor', 'Creativity']","['Creativity', 'Spatial awareness', 'Adaptability', 'Physical stamina', 'Problem-solving']",Artistic,Solo,['Involved creative drawing using unconventional means (markers and a field).'],"Alex Horne clarified task rules, particularly about creating breaks in lines by turning markers.",17,4,3155,6,8,7,5,9,8,2,5,17_4_3155,Taskmaster UK,Public Location,Other Locations,Creative,Solo,8,9,6,4,7,5,3,2
Find and complete the second half of the task,Contestants were initially given an incomplete task instruction. They had to locate the hidden or separate second part of the task before they could attempt to finish it. This required a search for additional instructions on the premises.,"The task likely began in a standard Taskmaster setting such as the lab or indoors, expanding outdoors if necessary for the search.","['Initial incomplete task card', 'Hidden second half of the task (possibly another envelope)', 'Potential props or objects hinted at in initial instructions']","['Contestants could not complete the task until they found the second part of the instructions.', 'Time constraints were likely in place, either with a fixed time limit or rewarding faster completion.']","['Mental', 'Problem-solving', 'Time-based', 'Search/Scavenger Hunt']","['Observation and attention to detail', 'Lateral thinking and problem-solving', 'Efficient searching', 'Time management']",Mental,solo,[],Alex Horne provided initial instructions and observed contestant progress.,17,4,3156,6,7,4,3,8,7,2,5,17_4_3156,Taskmaster UK,Lab,Inside House,Problem-solving,Solo,7,6,2,4,8,7,5,3
Pass the loo roll through the loo roll inner tube,The task requires contestants to pass a roll of toilet paper through the cardboard inner tube of another roll. The challenge lies in the physical manipulation needed to achieve this seemingly simple task.,Taskmaster house or a designated task area,"['roll of toilet paper', 'cardboard tube from another roll']",['Pass the entire roll of toilet paper through the inner tube'],"['Physical', 'Puzzle-solving', 'Time-based', 'Manipulation skills']","['Patience', 'Dexterity', 'Problem-solving', 'Creativity', 'Focus']",physical,solo,[],task overseer,17,4,3157,6,5,4,3,7,6,2,3,17_4_3157,Taskmaster UK,Other,Other Locations,Physical,Solo,6,7,5,4,8,3,7,2
The most extraordinary picture,"Contestants were instructed to bring in ""the most extraordinary picture"" as the episode's prize task. The picture could be a photograph, painting, or any form of visual artwork, with the goal of impressing Taskmaster Greg Davies with its extraordinariness.",Studio-based prize task.,[],"['Each contestant could bring in one picture.', 'The picture could be in any visual format.', 'The main judging criterion was extraordinariness as determined by Greg Davies.']","['Art', 'Creativity', 'Presentation', 'Humour', 'Interpretation']","['Lateral thinking', 'Creativity', 'Understanding of the Taskmaster’s sense of humor', 'Presentation skills', 'Interpretation of the task criteria']",artistic,solo,['Involved elements of humor and storytelling in the presentation of the picture.'],"Co-host and facilitator, assisting Greg in assessing the extraordinary nature of each picture.",17,5,3165,8,9,1,3,8,2,9,2,17_5_3165,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,8,9,2,3,7,1,3,2
Be the most impressive load-bearer,"Contestants were tasked with standing on a doormat, waving one hand above their head, and giving a nice big thumbs-up with the other hand while bearing the most impressive load solely on their person.","Taskmaster house, likely in the garden or outdoor area.","['Various props and equipment available in the Taskmaster shed and the surroundings', 'snooker cues', 'umbrellas', 'costumes', 'miscellaneous objects like traffic cones and cutlery']","['Contestants had 15 minutes to prepare.', 'They had to stand on a doormat during the presentation.', 'One hand had to wave above their head; the other had to give a thumbs-up.', ""The load couldn't touch anything other than the contestant.""]","['Physical', 'Creative', 'Balance-based', 'Time-based', 'Performance']","['Creative thinking', 'Balance and coordination', 'Physical strength', 'Time management', 'Problem-solving']",Performance-based,Solo,"['Performance involved balancing, posing, and creative use of props.']",Alex interrupted the contestants to start the preparation time and was present to observe and comment on their performances.,17,5,3166,7,8,6,7,9,7,3,2,17_5_3166,Taskmaster UK,Garden,Outside House,Physical,Solo,8,7,6,4,9,5,3,2
Take the most dramatic photo of yourself in mid-air,Contestants were tasked with taking a dramatic photo of themselves captured in mid-air. They had 15 minutes to complete the task and could take a maximum of five photos. The focus was on creating a dramatic image while being airborne.,The task took place primarily in the garden or outdoor area of the Taskmaster house. Contestants could choose different locations within the premises to set up their shots.,"['Camera or device capable of taking photos', 'Props or items found at the Taskmaster house']","['Time limit of 15 minutes', 'Maximum of five photos', 'Only the contestant themselves could be in mid-air in the final photo', 'The photo had to be dramatic']","['Physical', 'Creative', 'Time-based', 'Photography']","['Timing and Coordination', 'Creativity', 'Physicality', 'Resourcefulness', 'Technical Skills']",Performance-based,Solo,['Involved elements of acting and improvisation to create a dramatic scene'],"Alex Horne served as an observer and facilitator, providing assistance and props upon request.",17,5,3167,7,9,6,5,9,8,3,4,17_5_3167,Taskmaster UK,Garden,Outside House,Creative,Solo,8,9,7,6,8,5,4,3
Tie yourself to the bed,Contestants were instructed to tie themselves to a bed as effectively as possible while remaining horizontal in the Taskmaster lab. The challenge included retrieving ties from ceiling-mounted rotating tie racks.,Taskmaster lab,"['A bed', 'Ties hanging from rotating tie racks on the ceiling', 'A rope (found and used by at least one contestant)']","['Contestants must remain horizontal while in the lab.', 'Pulling down the ""terrible tie"" results in disqualification.']","['Physical', 'Problem-solving', 'Time-based', 'Dexterity']","['Problem-solving', 'Physical dexterity', 'Creativity', 'Adaptability', 'Resourcefulness']",Physical,Solo,"[""Involved a bit of acting or improvisation, particularly with Nick's dramatic struggle.""]","Alex served as the task overseer, providing instructions and clarifying rules.",17,5,3168,8,7,6,5,9,7,2,4,17_5_3168,Taskmaster UK,Lab,Inside House,Physical,Solo,8,7,6,5,9,4,3,2
Park a vehicle in the parking bay,"Contestants were instructed to park a vehicle in a designated parking bay by rolling it while standing in one spot. The task was conducted in rounds, with the worst performer in each round being eliminated. In the final round, the remaining two contestants had to park simultaneously.",Studio (live task),"['Various small vehicles for each round', ""Dolls or marker placards with contestants' faces to place on vehicles"", 'Designated parking bay area', ""Circular marker discs with contestants' faces for marking vehicle positions""]","['Contestants must remain standing in one spot while rolling their vehicle', 'The worst parker each round was eliminated', 'Final round required simultaneous parking']","['Physical', 'Skill-based', 'Competitive', 'Elimination-based']","['Hand-eye coordination', 'Depth perception', 'Force control', 'Spatial awareness', 'Decision-making regarding vehicle selection']",physical,solo,[],Assisted by marking where vehicles stopped and managing the elimination process.,17,5,3169,6,5,4,6,7,5,2,4,17_5_3169,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,7,5,6,4,8,7,3,2
Bring in the best thing that you can get into.,"Contestants were asked to bring an item or concept that they interpreted as 'the best thing you can get into.' This open-ended task required them to present their chosen item in the studio, explaining and justifying their choice to the Taskmaster.",Studio,"['Cryptic crossword with a hidden message', 'Sleeping bag styled as an Ancient Egyptian sarcophagus', 'Human-sized hamster ball', 'Taskmaster-themed memes', 'Concept of putting an ice cube in white wine']","[""Bring 'the best thing you can get into.'""]","['Creativity', 'Interpretation', 'Presentation', 'Humor', 'Surprise Element']","['Creativity', 'Lateral thinking', 'Persuasive presentation', 'Humor/comedic timing', 'Audience engagement']",mental,solo,['Acting or comedic delivery was a factor in how entries were presented.'],Assistant/Facilitator,17,6,3170,7,9,2,3,8,1,6,2,17_6_3170,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,2,3,8,4,3,2
Make a bespoke personal hamper for another contestant,"Contestants created personalized hampers for each other with a specific theme determined by a spin of a wheel. Each contestant had 10 minutes to fill the hamper with items that matched the theme, aiming to personalize it for the assigned contestant.",The task took place in the living room of the Taskmaster house.,"[""wicker hamper with 'TM' initials"", 'gift tag', ""wheel of fortune with themes: 'Action', 'Nature', 'Picnic', 'Red', and 'Utility'"", 'various items in the Taskmaster house']","['10-minute time limit', 'The theme for the hamper was determined by spinning the wheel of fortune', 'The hamper needed to be personalized for the assigned contestant', 'No points were awarded for this task as it set up a subsequent task']","['Creative', 'Time-based', 'Personalized/Artistic', 'Social']","['Creativity', 'Time management', 'Adaptability', 'Knowledge of fellow contestants', 'Quick decision-making']",artistic,solo,['Involved an element of acting through personalization'],Alex Horne introduced the task and ensured contestants followed the rules.,17,6,3171,6,8,2,3,7,8,2,5,17_6_3171,Taskmaster UK,Lounge,Inside House,Creative,Mixed,7,9,2,4,8,7,6,3
